à		Vit, I, E
học chính		N
học chế		N
học cụ		N, Ng
học đòi		Vt
học đường		N, Ng
học gạo		Vit
học giả		N, Ng
học giới		N, Ng
học hàm		N
học hành		Vit
học hiệu		N
học hỏi		Vt
học khoá		N
học kì		N
học kỳ		N
học lỏm		Vit
học lóm		Vit
học lực		N
học mót		Vit
học phái		N
học phẩm		N
học phần		N
học phí		N
học phiệt		N
học phong		N
học quan		N
học sĩ		N
học sinh		N, Ng
học tập		Vt
học thuật		N
học thuyết		N
học thức		N
học trình		N
học trò		N, Ng
học vấn		N
học vẹt		Vit
học vị		N
học việc		Vit
học viên		N, Ng
học viện		N, Ng
học xá		N, Ng
hocmon		Np
hoe		Vt, Aa
hoè		N
hoen		Vt, Aa
hoen gỉ		Aa
hoen ố		Aa
hoen rỉ		Aa
hoi		Aa
hoi hóp		Vit
hỏiB		X
hỏi		N, Vt
hỏi cung		Vt
hỏi han		Vt
hỏi nhỏ		Vt
hỏi thăm		Vt
hỏi tội		Vt
hỏi vợ		Vit
hói		N, Aa
hom		N, Aa
hom hem		Aa
hòm		N, Ng
hòm gian		N
hòm hòm		Aa
hòm thư		N, Ng
hòm xe		N, Ng
hòm xiểng		N, Ng
hỏm		N, Aa
hõm		N, Aa
hóm		Aa
hóm hỉnh		Aa
hòn		N, Nt
hòn dái		N, Ng
hỏn hẻn		Aa
hong		Vt
hong hóng		Aa
hòng		Vt, Vim, Vtim
hỏng		Aa
hỏng hóc		Vit
hỏng kiểu		Aa
hóng		Vt
hóng hớt		Vit
họng		N, Ng
hoóc-mon		Np
hóp		N, Ng, Aa
họp		Vt
họp báo		Vit
họp hành		Vit
họp mặt		Vt
hormon		Np
hót		Vit
hotel		Np
hô		Vt, Aa
hô hào		Vt
hô hấp		N
hô hoán		Vit
hô hố		Aa
hồ		N, Ng, Vt, Jd
hồ bi		N
hồ cầm		N
hồ chứa nước		N, Ng
hồ dễ		Jd
hồ điệp		N
hồ đồ		Aa
hồ hải		N
hồ hởi		Aa
hồ li		N
hồ lô		N, Ng
hồ ly		N
hồ nghi		Vt, Vim, Vtim
hồ quang		N
hồ sơ		N, Ng
hồ thỉ tang bồng		Np
hồ thuỷ		Aa
hồ tiêu		N, Ng
hồ tinh		N
hổ		N, Ng, Vt
hổ chúa		N, Ng
hổ chuối		N, Ng
hổ cốt		N, Ng
hổ danh		Vt
hổ hang		Vitim
hổ khẩu		N, Ng
hổ lang		N, Ng
hổ lốn		Aa
hổ lửa		N, Ng
hổ mang		N, Ng
hổ ngươi		Aa
hổ phách		N, Ng
hổ phù		N, Ng
hổ thẹn		Aa
hổ trâu		N, Ng
hổ trướng		N, Ng
hổ tướng		N, Ng
hỗ huệ		Aa
hỗ trợ		Vt
hỗ tương		Aa
hố		N, Ng, Aa
hố chậu		N, Ng
hố ga		N, Ng
hố tiêu		N, Ng
hố xí		N, Ng
hộ		Ng, Nu, Vt
hộ chiếu		N, Ng
hộ đê		Vit
hộ giá		Vt
hộ khẩu		N, Ng
hộ lại		N
hộ lí		N, Ng
hộ lý		N, Ng
hộ mạng		Vit
hộ mệnh		Vit
hộ pháp		N
hộ pháp cắn trắt		X
hộ sản		Vit
hộ sĩ		N, Ng
hộ sinh		N, Ng, Vit
hộ tang		Vt
hộ thân		Vit
hộ tịch		N
hộ tống		Vt
hộ trì		Vt
hộ vệ		Vit
hốc		N, Vt, Aa
hốc hác		Aa
hộc		N, Nu, Vt
hộc tốc		Jd
hôi		Vt, Aa
hôi hám		Aa
hôi rình		Aa
hôi tanh		Aa
hôi thối		Aa
hồi		N, Nl, Vt
hồi âm		N, Vit
hồi cư		Vit
hồi dương		Vit
hồi đáp		Vt
Hồi giáo		N
hồi hộp		Vitim
hồi hương		N
hồi hương		N, Vit
hồi hưu		Vit
hồi kí		N
hồi ký		N
hồi loan		Vit
hồi lùng		Jr
hồi môn		Ng
hồi phục		Vt
hồi quang		N
hồi qui		Vit
hồi quy		Vit
hồi sinh		Vit
hồi sức		Vit
hồi tâm		Vit
hồi tỉnh		Vit
hồi tĩnh		Vit
hồi tố		Vit
hồi tưởng		Vt
hồi ức		N, Vit
hồi văn		N
hồi xuân		Vit
hổi		Nl
hối		Vitim, Vt, Aa
hối bất cập		Vit
hối cải		Vitim
hối đoái		N
hối hả		Aa
hối hận		Vitim
hối hôn		Vit
hối lộ		Vt
hối lỗi		Vitim
hối phiếu		N, Ng
hối quá		Vitim
hối suất		N
hối thúc		Vt
hối tiếc		Vt, Vim, Vtim
hội		N, Ng, Vt
hội ái hữu		N, Ng
hội báo		Vit
hội chẩn		Vit
hội chợ		Ng
hội chùa		Ng
Hội chữ thập đỏ		N, Ng
hội chứng		N
hội diễn		N, Ng
hội đàm		Vt
hội đồng		N, Ng
hội đồng bộ trưởng		N, Ng
hội đồng chính phủ		N, Ng
Hội đồng đề hình		N, Ng
hội đồng kỉ luật		N, Ng
hội đồng kỷ luật		N, Ng
hội đồng nhà nước		N, Ng
hội đồng nhân dân		N, Ng
hội đồng quản trị		N, Ng
hội hè		Ng
hội hoạ		N
hội họp		Vit
hội hợp thiện		Ng
hội kiến		Vt
hội kín		N, Ng
hội lễ		Ng
hội nghị		N, Ng
hội nghị bàn tròn		N, Ng
hội ngộ		Vit
hội nguyên		N
hội nhập		Vt
hội quán		N, Ng
hội sở		N, Ng
hội sư		Vit
hội tề		Ng
hội thánh		Ng
hội thao		N, Ng
hội thảo		N, Ng, Vt
hội thẩm		N, Ng
hội thẩm nhân dân		N, Ng
hội thí		Ng
hội thoại		Vit
hội thương		Vit
hội trường		N, Ng
hội trưởng		N, Ng
hội tụ		Vit
hội viên		N, Ng
hội ý		Vt
hôm		Nu
hôm kia		Nl
hôm kìa		Nl
hôm mai		Nl
hôm nay		Nl
hôm qua		Nl
hôm sau		Nl
hôm sớm		N
hổm		Nl
hôn		Vt, Ja
hôn ám		Aa
hôn hít		Vt
hôn lễ		N
hôn mê		Vit
hôn nhân		N
hôn nhân hỗn hợp		N
hôn phối		Vit
hôn quân		N
hôn thú		N
hôn thư		N
hồn		N
hồn hậu		Aa
hồn nhiên		Aa
hồn phách		N
hồn thơ		N
hồn vía		N
hồn xiêu phách lạc		Vitim
hổn ha hổn hển		Aa
hổn hển		Aa
hỗn		Aa
hỗn canh hỗn cư		Aa
hỗn chiến		Vit
hỗn độn		Aa
hỗn giao		Aa
hỗn hào		Aa
hỗn hào		Aa
hỗn hống		Ng
hỗn hợp		Ng, Vt, Aa
hỗn láo		Vit, Aa
hỗn loạn		Aa
hỗn mang		Aa
hỗn quân		N, Ng
hỗn quân hỗn quan		Aa
hỗn số		N
hỗn tạp		Aa
hỗn thực		Vit
hỗn xược		Vit, Aa
hộn		Vt
hông		N, Ja
hồng		N, Aa
hồng bạch		N
hồng bì		N
hồng cầu		Ng
hồng đào		Aa
hồng điều		Aa
hồng đơn		Aa
hồng hào		Aa
hồng hoa		N
hồng hoang		Aa
hồng hộc		N
hồng hộc		N, Jd
hồng huyết cầu		Ng
hồng lâu		N, Ng
hồng lô		N, Ng
hồng mao		N
hồng ngoại		N, Aa
hồng ngọc		N, Ng
hồng nhan		N
hồng nhan bạc mệnh		X
hồng nhan bạc phận		X
hồng nhung		N, Ng
hồng phúc		N
hồng quân		N
hồng quần		N
hồng quế		N
hồng sắc		Ng
hồng tâm		N, Ng
hồng thập tự		N, Ng
hồng thuỷ		N
hồng trần		N
hồng xiêm		N, Ng
hồng y giáo chủ		N, Ng
hổng		Aa, Ja
hổng hểnh		Aa
hỗng		Aa
hống hách		Vit, Aa
hộp		N
hộp chữa cháy		N, Ng
hộp đen		N, Ng
hộp đêm		N, Ng
hộp giảm tốc		N, Ng
hộp quẹt		N, Ng
hộp số		N, Ng
hộp thoại		N, Ng
hộp thư		N, Ng
hộp tốc độ		N, Ng
hốt		N, Vt, Vitim, Aa
hốt hoảng		Vitim, Aa
hốt nhiên		Jt
hột		N
hột cơm		N, Ng
hơ		Vt
hơ hải		Vit, Aa
hơ hỏng		Vit
hơ hớ		Aa
hơ hớ		Aa
hờ		Vit, Vt, Aa
hờ hững		Aa
hở		Vit, Aa, I
hở hang		Vit, Aa
hớ		Aa
hớ hênh		Aa
hơi		N, Ng, Jd
hơi đâu mà		
hơi hám		N, Ng
hơi hướng		N
hơi ngạt		N, Ng
hơi nước		N, Ng
hơi sức		N
hời		Aa
hời hợt		Aa
hởi dạ		Vitim
hởi lòng		Vitim
hỡi		E
hỡi ôi		E
hợi		N
hờm		N, Vt
hợm		N, Vt
hợm hĩnh		Vit
hợm mình		Vit
hơn		Aa, Jd
hơn bù kém		X
hơn hớn		Aa
hơn nữa		X
hơn thiệt		Aa
hờn		N, Vit
hờn dỗi		Vit
hờn giận		Vt
hờn mát		Vit
hớn hở		Aa
hớp		Nu, Vt
hớp hồn		Vt
hợp		Ng
hợp		Ng, Vt, Aa
hợp âm		N
hợp ca		Vit
hợp cách		Aa
hợp cẩn		N
hợp chất		Ng
hợp doanh		Vit
hợp đề		N
hợp điểm		N, Vit
hợp đồng		N, Vt
hợp hiến		Aa
hợp kim		N, Ng
hợp kim màu		N, Ng
hợp kim trung gian		N, Ng
hợp lệ		Aa
hợp lí		Aa
hợp lí hoá		Vt
hợp lực		N, Vt
hợp lưu		N, Vit
hợp lý		Aa
hợp lý hoá		Vt
hợp nhất		Vt
hợp pháp		Aa
hợp pháp hoá		Vt
hợp phần		N
hợp quần		Vit
hợp số		N
hợp tác		Ng, Vt
hợp tác hoá		Vt
hợp tác xã		N, Ng
hợp táng		Vt
hợp tấu		Ng, Vit
hợp thời		Aa
hợp thức		Vt
hợp thức hoá		Vt
hợp tình hợp lí		X
hợp tình hợp lý		X
hợp tuyển		Ng
hợp tử		N
hợp xướng		Ng
hớt		Vt, Aa
hớt hải		Vit, Aa
hớt hơ hớt hải		Vit, Aa
hớt lẻo		Vit
hớt tóc		Vit
hryvnia		Np
HT		X
HTX		X
hu hu		Aa
hù		Vt
hù doạ		Vt
hủ		Aa
hủ bại		Aa
hủ hỉ		Vit
hủ hoá		Vit
hủ lậu		Aa
hủ nho		N
hủ tiếu		N, Ng
hủ tục		N
hũ		N
hú		Vit
hú hí		Vit
hú hoạ		Aa
hú hồn		Vit
hú tim		N
hú vía		Vit
hụ		Vit
hua		N
hùa		Ng, Vt
huân chương		N, Ng
huân tước		N
huấn		N
huấn dụ		Vt
huấn đạo		N
huấn điều		N
huấn học		N
huấn lệnh		N
huấn luyện		Vt
huấn luyện viên		N, Ng
huấn thị		N, Vit
huấn từ		N
húc		Vt
hục		Vt
hục hặc		Vit
huê		N
huê lợi		N
huê tình		N
huề		Aa
huệ		N, Ng
huếch hoác		Vit, Aa
huênh hoang		Vit, Aa
hui hút		Vit
hùi hụi		Vit, Aa
hùi hụi		Aa
hủi		N
húi		Vt
hụi		N
hum húp		Aa
hùm		N, Ng
hùm beo		N, Ng
hũm		N, Aa
hụm		Nu
hun		Vt
hun đúc		Vt
hun hút		Aa, An
hùn		Vt
hùn hạp		Vt
hủn hoẳn		An
hung		Aa, Jd
hung ác		Aa
hung bạo		Aa
hung dữ		Aa
hung đồ		N, Ng
hung hãn		Aa
hung hăng		Aa
hung khí		N, Ng
hung phạm		N, Ng
hung tàn		Aa
hung thần		N
hung thủ		N, Ng
hung tinh		N
hung tợn		Aa
hùng		Aa
hùng biện		Vit
hùng ca		N
hùng cứ		Vit
hùng cường		Aa
hùng dũng		Aa
hùng hậu		Aa
hùng hoàng		Ng
hùng hổ		Aa
hùng hồn		Aa
hùng hục		Aa
hùng khí		N
hùng mạnh		Aa
hùng tâm		N
hùng tráng		Aa
hùng vĩ		Aa
húng		N, Ng
húng chanh		N, Ng
húng chó		N, Ng
húng dổi		N, Ng
húng dũi		N, Ng
húng hắng		Jd
húng lìu		N, Ng
húng quế		N, Ng
huống		Cc
huống chi		Cc
huống gì		Cc
huống hồ		Cc
huống nữa		Cc
huốt		Aa
huơ		Vt
húp		Vt, Aa
húp híp		Vit, Aa
hụp		Vit
hút		N, Vt, Aa, An, Jd
hút máu hút mủ		Vt
hút mật		N
hút xách		Vit
hụt		Aa
hụt hẫng		Aa
huy chương		N, Ng
huy động		Vt
huy hiệu		N, Ng
huy hoàng		Aa
huy hoắc		Vt
huỷ		Vt
huỷ báng		Vt
huỷ bỏ		Vt
huỷ diệt		Vt
huỷ hoại		Vt
huý		N
huý kị		Vit
huých		Vt
huyên náo		Aa
huyên thiên		Vit, Aa
huyên thuyên		Vit, Aa
huyên thuyên xích đế		Aa
huyên truyền		Vt
huyền		N, Aa
huyền ảo		Aa
huyền bí		Aa
huyền chức		Vit
huyền diệu		Aa
huyền hoặc		Vt, Aa
huyền học		N
huyền phù		Ng
huyền sâm		N
huyền sử		N
huyền thoại		N
huyền vi		Aa
huyễn diệu		Vit
huyễn hoặc		Vt
huyễn tưởng		Vit, Aa
huyện		Nu
huyện bộ		Ng
huyện đoàn		Ng
huyện đội		Ng
huyện đường		N
huyện lệnh		N
huyện lị		Ng
huyện lỵ		Ng
huyện nha		N
huyện uỷ		Ng
huyện uỷ viên		N, Ng
huyết		N
huyết áp		N
huyết áp cao		N
huyết áp thấp		N
huyết bạch		N
huyết bài		N
huyết cầu		N
huyết chiến		Vit
huyết dịch		N
huyết dụ		N
huyết giác		N
huyết hệ		N
huyết học		N
huyết khí		N
huyết mạch		N, Ng
huyết quản		N, Ng
huyết sắc tố		N
huyết thanh		Ng
huyết thống		N
huyết thư		N, Ng
huyết tộc		N
huyết trầm		N
huyết tương		Ng
huyệt		N, Ng
huyệt mộ		N, Ng
huynh		N
huynh đệ		N, Ng
huynh đệ tương tàn		X
huynh trưởng		N
huỳnh		N
huỳnh huỵch		Aa
huỳnh quang		N
huỳnh tinh		N
huýt		Vit, Vt
huýt gió		Vit
huýt sáo		Vit
hư		Aa
hư ảo		Aa
hư cấu		Vit
hư danh		N
hư đốn		Aa
hư hại		Aa
hư hao		Aa
hư hỏng		Aa
hư hốt		Aa
hư huyền		Aa
hư không		Aa
hư nhược		Vt
hư số		N
hư thân		Aa
hư trương thanh thế		Vit
hư từ		N
hư văn		N
hư vị		N
hư vinh		N
hư vô		N, Aa
hừ		E
hừ hừ		Aa
hử		I
hứ		E
hự		Vit
hứa		Vt
hứa hão		Vit
hứa hẹn		N, Vt
hứa hôn		Vit
hứa hươu hứa vượn		Vit
hực		Aa
hực hỡ		Aa
hừm		E
hưng		Aa
hưng binh		Vit
hưng hửng		Vt
hưng khởi		Vit
hưng phấn		Vit
hưng phế		Vit
hưng thịnh		Aa
hưng vong		Vit
hưng vượng		Aa
hừng		Vit
hừng hực		Aa
hửng		Vt
hững hờ		Aa
hứng		N, Vta, Aa
hứng chí		Aa
hứng chịu		Vta
hứng gió		Vit
hứng khởi		Aa
hứng thú		N, Aa
hứng tình		Aa
hườm		N, Aa
hượm		Vit
hương		Ng
hương án		N, Ng
hương ẩm		Vit
hương bài		N, Ng
hương binh		Ng
hương bộ		Ng
hương cả		N, Ng
hương chính		N, Ng
hương chủ		N, Ng
hương chức		N, Ng
hương cống		N, Ng
hương dõng		N, Ng
hương dũng		N, Ng
hương hào		Ng
hương hoa		N, Ng
hương hoả		Ng
hương hội		Ng
hương hồn		N
hương khói		N, Ng
hương kiểm		N, Ng
hương lí		N, Ng
hương liệu		Ng
hương lộ		Ng
hương lửa		N
hương lý		N, Ng
hương mục		N, Ng
hương nhu		N, Ng
hương phụ		N
hương quan		N
hương quản		N, Ng
hương sắc		Ng
hương sen		N
hương sư		N, Ng
hương thân		N, Ng
hương thí		N
hương thôn		N, Ng
hương trưởng		N, Ng
hương ước		N
hương vị		N
hương vòng		N, Ng
hường		N, Aa
hưởng		Vta
hưởng lạc		Vit, Va
hưởng thọ		Vt
hưởng thụ		Vta
hưởng ứng		Vt
hướng		Nl, Vt
hướng dẫn		Vt
hướng dẫn viên		N, Ng
hướng dương		N, Ng
hướng đạo		N, Vit
hướng đạo sinh		N, Ng
hướng động		N
hướng nghiệp		Vit
hướng ngoại		Vit
hướng nội		Vit
hướng tâm		Vit
hướng thiện		Vit
hươu		N, Ng
hươu cao cổ		N, Ng
hươu sao		N, Ng
hươu xạ		N, Ng
hưu		Vit
hưu bổng		N
hưu canh		Vit
hưu chiến		Vit
hưu trí		Vit
hữu		N, Aa
hữu ái		Aa
hữu bang		N
hữu biên		N
hữu cơ		Aa
hữu danh vô thực		Aa
hữu dũng vô mưu		Aa
hữu dụng		Aa
hữu dực		Ng
hữu định luận		N
hữu hạn		Aa
hữu hảo		Aa
hữu hiệu		Aa
hữu hình		Aa
hữu ích		Aa
hữu khuynh		Aa
hữu lí		Aa
hữu lý		Aa
hữu ngạn		N
hữu nghị		Aa
hữu quan		Aa
hữu sản		Aa
hữu sắc vô hương		Aa
hữu sinh		Aa
hữu sinh vô dưỡng		Aa
hữu sự		Aa
hữu tài		Aa
hữu tài vô hạnh		Aa
hữu thanh		Aa
hữu thần luận		N
hữu tỉ		N
hữu tình		Aa
hữu tính		N
hữu trách		Aa
hữu tuyến		N
hữu tỷ		N
hữu xạ tự nhiên hương		X
hữu ý		Aa
hy hữu		Aa
hy sinh		N, Vt, Vit
hy vọng		N, Vt, Vim, Vtim
hỷ		Vt, Aa, I
hỷ hả		Aa
hỷ mũi chưa sạch		X
hỷ tín		N
hỷ xả		Vit
hý		N, Vit
hý ha hý hửng		Vitim, Aa
hý hoáy		Vt
hý hởn		Vt, Vim, Vtim, Aa
hý húi		Vt
hý hửng		Vt, Vim, Vtim, Aa
hý hước		Vit
hý khúc		N
hý kịch		N
hý trường		N
hý viện		N
hydrocarbon		Np
hydrochlorur		Np
hydrogen		Np
hydroponic		Np
hydroxid		Np
hypebol		Np
hyperbol		Np
Hz		X
i-nốc		Np
i-on		Np
i-ô-ga		Np
i-ốt		Np
i tờ		N, Aa
ì		Vit
ì à ì ạch		Aa
ì ạch		Aa
ì ầm		Vit
ì oạp		Aa
ì xèo		Vit
ỉ		N
ỉ eo		Vt, Aa
í a í ới		Aa
í oẳng		Aa
í ới		Aa
ị		Vit
ị		Aa
ỉa		Vit
ỉa chảy		Vit
IC		Np
ích		N
ích dụng		N
ích kỉ		Aa
ích kỉ hại nhân		X
ích kỷ		Aa
ích kỷ hại nhân		X
ích lợi		N
ích mẫu		N, Ng
ích quốc lợi dân		Aa
ích xì		N, Ng
im		Vt, Aa
im ả		Aa
im ắng		Aa
im bặt		Aa
im ỉm		Aa
im lặng		Vit, Aa
im lìm		Aa
im re		Aa
im thin thít		Aa
im thít		Aa
ỉm		Vt
in		Vt
in ấn		Vt
in đá		Vit
in hệt		Aa
in ỉn		Vit
in ít		An
in kim		Vit
in laser		Vit
in li tô		Vit
in lito		Vit
in litô		Vit
in offset		Vit
in opset		Vit
in opxet		Vit
in phun		Vit
in roneo		Vit
in rô nê ô		Vit
in rônêô		Vit
in-su-lin		Np
in thạch		Vit
in thạch bản		Vit
in ti pô		Vit
in tipô		Vit
in typo		Vit
ìn ịt		Vit
ỉn		Vit
inch		Np
inh		Aa
inh ỏi		Aa
inh tai		Aa
inh tai nhức óc		Aa
ình		Aa
ình oàng		Vit
inôc		Np
input		Np
insulin		Np
Internet		Np
intranet		Np
iod		Np
ion		Np
ion hoá		Vt
iot		Np
iota		Np
ít		An
ít lâu		N
ít nhất		X
ít nhiều		An
ít nữa		X
ít oi		An
ít ỏi		An
ít ra		X
ịt		Vit
iu ỉu		Aa
ỉu		Aa
ỉu xìu		Aa
jacket		Np
jambông		Np
javel		Np
jazz		Np
jean		Np
jeep		Np
jiujitsu		Np
joule		Np
judo		Np
juđô		Np
jun		Np
ka-li		Np
kaki		Np
kali		Np
kali nitrat		Np
kalium		Np
kalium nitrat		Np
kaolin		Np
kappa		Np
karaoke		Np
karate		Np
KCS		X
ke		N, Ng, Aa
ke ga		N, Ng
kè		N, Ng, Vt
kè nhè		Vit, Aa
kẻ		N, Vt
kẻ ăn người làm		Np
kẻ ăn người ở		Np
kẻ cả		N
kẻ cắp		N, Ng
kẻ cắp gặp bà già		X
kẻ chợ		N, Ng
kẻ cướp		N, Ng
kẻ gian		N, Ng
kẻ ít người nhiều		X
kẻ sĩ		N, Ng
kẻ tám lạng người nửa cân		X
kẻ thù		N, Ng
kẻ trộm		N, Ng
kẻ tung người hứng		X
kẽ		N
ké		N, Ng, Vt
ké đầu ngựa		N, Ng
ké né		Aa
kẹ		Vt, Aa
kéc		N, Ng
kelvin		Np
kem		N, Ng
kem cây		N, Ng
kèm		Vt
kèm cặp		Vt
kèm nhà kèm nhèm		Aa
kèm nhèm		Aa
kẽm		N, Ng
kém		Aa, Jd
kém cạnh		Vtc
kém cỏi		Aa
ken		Vt, Aa
ken két		Aa
ken-vin		Np
kèn		N, Ng
kèn bầu		N, Ng
kèn bóp		N, Ng
kèn co		N, Ng
kèn cor		N, Ng
kèn cựa		Vt
kèn hát		N, Ng
kèn trống		N, Ng
kén		N, Ng, Vt, Aa
kén cá chọn canh		X
kén chọn		Vt
kẻng		N, Ng, Aa
kenvin		Np
keo		N, Ng, Vit, Aa
keo bẩn		Aa
keo cú		Aa
keo cúi		Aa
keo kiết		Aa
keo kiệt		Aa
keo sơn		N, Ng, N
keo tơ		N, Ng
keo xương		N, Ng
kèo		N, Ng
kèo nài		Vt
kèo nèo		N
kèo nèo		N, Vt
kèo nhèo		Vit
kẻo		Vt, Cc
kẻo mà		Cc
kẻo nữa		Cc
kẻo rồi		Cc
kẽo cà kẽo kẹt		Vit
kẽo kẹt		Vit
kéo		N, Ng, Vt
kéo bè kéo cánh		Vit
kéo bộ		Vit
kéo cày trả nợ		X
kéo co		N
kéo gỗ		Vit
kéo theo		Vt
kẹo		N, Ng, Aa
kẹo đắng		N, Ng
kép		N, Aa
kẹp		N, Ng, Vt
két		N, Aa
kẹt		Vit, Aa
kê		N, Ng, Vt
kê biên		N
kê khai		Vt
kê kích		Vt
kê môn		N
kê úm		Vt
kề		Vt
kề cà		Vit
kề cận		An
kề miệng lỗ		Aa
kề vai sát cánh		Vit
kể		Vt, I
kể cả		X
kể hạnh		Vit
kể lể		Vt
kể ra		X
kế		N, Vt
kế cận		Aa
kế chân		Vt
kế hoạch		N
kế hoạch hoá		Vt
kế mẫu		N, Ng
kế nghiệp		Vt
kế nhiệm		Vt
kế phụ		N, Ng
kế sách		N
kế tập		Vit
kế thất		N
kế thừa		Vt
kế tiếp		Vt
kế toán		N, Vit
kế toán trưởng		Ng
kế tục		Vt
kế tự		Vit
kế vị		Vt
kệ		N, Ng, Vt
kệ nệ		Aa
kệ thây		Vt
kệ xác		Vt
kếch		An
kếch sù		An
kếch xù		An
kệch		Vt, Aa
kệch cỡm		Aa
kệch cợm		Aa
kềm		N, Vtv
kềm chế		Vtv
kên		Vt
kên kên		N, Ng
kền		N, Aa
kền kền		N, Ng
kênh		N, Ng
kênh		N, Ng, Vt, Aa
kênh kiệu		Vit
kênh truyền hình		N, Ng
kênh xáng		N, Ng
kềnh		An, Jd
kềnh		Vit
kềnh càng		An
kềnh kệch		An
kềnh kệnh		An
kễnh		N, Ng, An
kệnh		An
kếp		N
kết		N, N, Vt
kết án		Vt
kết bạn		Vt
kết cấu		N
kết cấu đất		N
kết cấu hạ tầng		N
kết cỏ ngậm vành		Vit
kết cục		N, Vit, Vs, Vits
kết cuộc		N, Vit, Vs, Vits
kết dính		Vit
kết duyên		Vt
kết dư		N
kết đoàn		Vt
kết đọng		Vit
kết giao		Vt
kết hôn		Vit
kết hợp		Vt
kết liên		Vt
kết liễu		Vt
kết luận		N, Vt
kết mạc		N, Ng
kết nạp		Vt
kết nghĩa		Vt
kết nối		Vt
kết quả		N
kết thân		Vt
kết thúc		Vts
kết tinh		N, Vit
kết toán		Vit
kết tóc		Vit
kết tóc xe tơ		Vit
kết tội		Vt
kết tụ		Vit
kết tủa		N, Ng, Vit
kết từ		N
kết ước		N, Vt
kêu		Vit, Vt, Aa
kêu ca		Vit
kêu gào		Vit
kêu gọi		Vt
kêu la		Vit
kêu nài		Vt
kêu rêu		Vit
kêu trời		Vit
kêu van		Vt
kều		Vt
kg		Nu
kha khá		Aa
khà		Vit
khả ái		Aa
khả biến		Aa
khả dĩ		Jd, Aa
khả kiến		Aa
khả kính		Aa
khả năng		N
khả nghi		Aa
khả ố		Aa
khả quan		Aa
khả thi		Aa
khả thủ		Aa
khá		Vt, Aa, Jd
khá giả		Aa
khác		Aa
khác biệt		N, Aa
khác máu tanh lòng		X
khác thường		Aa
khạc		Vt
khách		N, Ng
khách khí		Aa
khách khứa		N, Ng
khách qua đường		N, Ng
khách quan		N, Aa
khách quan chủ nghĩa		Aa
khách sạn		N, Ng
khách sáo		Aa
khách thể		N
khách tình		Aa
khách vãng lai		N, Ng
khai		Vts, Aa
khai báo		Vt
khai bút		Vit
khai căn		Vit
khai chiến		Vit
khai cơ lập nghiệp		Vit
khai diễn		Vit
khai đề		Vit
khai giảng		Vit
khai hạ		Vit
khai hấn		Vit
khai hoa		Vit
khai hoả		Vit
khai hoá		Vt
khai hoang		Vit
khai học		Vit
khai hội		Vit
khai khẩn		Vt
khai khoáng		Vit
khai mạc		Vt
khai mào		Vit
khai phá		Vt
khai phương		Vit
khai quang		Vt
khai quật		Vt
khai quốc		Vit
khai sáng		Vt
khai sanh		Vt
khai sinh		Vt
khai sơn phá thạch		Vit
khai tâm		Vit
khai thác		Vt
khai thiên lập địa		Np
khai thông		Vt
khai triển		Vt
khai trừ		Vt
khai trương		Vt
khai trường		N, Vit
khai tử		Vit
khai vị		Vit
khải ca		N, Ng, Vit
khải hoàn		Vit
khải hoàn ca		N, Ng
khải hoàn môn		N, Ng
khái		N, Ng, Aa
khái huyết		Vit
khái luận		N
khái lược		Aa
khái niệm		N
khái quát		Vt, Aa
khái quát hoá		Vt
khái tính		Aa
kham		Vt
kham khổ		Aa
khảm		N, Vt
khám		N, Ng, Vt
khám đường		N, Ng
khám nghiệm		Vt
khám phá		Vt
khám xét		Vt
khan		Aa
khan hiếm		Aa
khàn		Aa
khản		Aa
khản đặc		Aa
khán		N, Ng
khán đài		N, Ng
khán giả		N, Ng
khán hộ		N, Ng
khán phòng		N, Ng
khán thủ		N, Ng
khang cường		Aa
khang khác		Aa
khang kháng		Aa
khang kiện		Aa
khang ninh		Aa
khang trang		Aa
khảng khái		Aa
khảng tảng		Aa
kháng		Vt, Aa
kháng án		Vit
kháng cáo		Vit
kháng chiến		N, Vit
kháng cự		Vit
kháng nghị		N, Vt
kháng nguyên		N
kháng sinh		N, Ng, Vit
kháng thể		N, Ng
kháng viêm		Vt
khạng nạng		Aa
khanh		N, Ng
khanh khách		Aa
khanh tướng		N, Ng
khành khạch		Aa
khảnh		Aa
khánh		N
khánh chúc		Vt
khánh hạ		Vt
khánh kiệt		Vt
khánh tận		Vt
khánh thành		Vt
khánh tiết		N
khao		Vt, Aa
khao khát		Vt, Vim, Vtim
khao quân		Vit
khao thưởng		Vt
khao vọng		Vit
khảo		Vt
khảo chứng		Vt
khảo cổ		N
khảo cổ học		N
khảo cứu		Vt
khảo dị		Vt
khảo đính		Vt
khảo hạch		Vt
khảo luận		Vt
khảo nghiệm		Vt
khảo quan		N
khảo sát		Vt
khảo thí		Vit
khảo thích		Vt
khảo tra		Vt
kháo		N
kháo		N, Vt
kháp		Vt
khạp		N, Ng
khát		Vt
khát khao		Vt, Vim, Vtim
khát máu		N
khát vọng		N, Vt, Vim, Vtim
khau		N
kháu		Aa
kháu khỉnh		Aa
khay		N, Ng, Aa
khảy		Vt
kháy		Vt
khắc		Nu, Vt, Aa, Ja
khắc bạc		Aa
khắc cốt ghi xương		Vit
khắc hoạ		Vt
khắc khoải		Aa
khắc khổ		Aa
khắc kỉ		Vit
khắc kỷ		Vit
khắc nghiệt		Aa
khắc phục		Vt
